,PC1,PC2,PC3,name,id,sprite_url,type,total_stats,generation
0,-1.4859778676284294,0.0433727293939768,-0.7849832943547386,bulbasaur,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,grass,318,generation-i
1,-0.23584721061263014,0.1430154491037752,-0.8171354915082566,ivysaur,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,grass,405,generation-i
2,1.487991987727561,0.24332852002190072,-0.8032919663009063,venusaur,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,grass,525,generation-i
3,-1.7308800269961837,0.7020872238583947,-0.2880452487009901,charmander,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,fire,309,generation-i
4,-0.3442817737697762,0.8326417347168135,-0.3660974835296872,charmeleon,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,fire,405,generation-i
5,1.5124668129864185,1.0434625037643963,-0.4697577068984776,charizard,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,fire,534,generation-i
6,-1.5619385862022739,-0.49919498207916146,-0.6182330119667205,squirtle,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,water,314,generation-i
7,-0.25230481225471085,-0.4303870952616553,-0.6300663112221361,wartortle,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,water,405,generation-i
8,1.555306262047579,-0.36220860619897016,-0.7273025018194265,blastoise,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,water,530,generation-i
9,-3.370831877286143,0.10221287782482863,0.40101150978053923,caterpie,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,bug,195,generation-i
10,-3.1716743127017932,-0.6320573532077939,-0.02101172606864003,metapod,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,bug,205,generation-i
11,-0.4055703750866769,0.8090347139829489,-1.260264370156429,butterfree,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,bug,395,generation-i
12,-3.391167627399226,0.3301517206139371,0.4831577607621699,weedle,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,bug,195,generation-i
13,-3.1920100628148758,-0.4041185104186855,0.061134524912990644,kakuna,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,bug,205,generation-i
14,-0.41038195428274904,0.4664302079736979,0.3798574996816597,beedrill,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,bug,395,generation-i
15,-2.5739246720046887,0.34284729639739997,0.191280545642366,pidgey,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,normal,251,generation-i
16,-1.1532031955923503,0.39290623105890293,0.28485074861244014,pidgeotto,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal,349,generation-i
17,0.6768471822132539,0.7386927497432779,0.34483165573993607,pidgeot,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal,479,generation-i
18,-2.6169250545268974,0.7207265656920747,0.532243008853787,rattata,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal,253,generation-i
19,-0.2945823046774613,0.7818487406288508,0.32738798375369316,raticate,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal,413,generation-i
20,-2.464996220976651,0.8311801978958009,0.7270147733481827,spearow,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,normal,262,generation-i
21,0.10780254177015725,0.8970600605160467,0.6926327155509694,fearow,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,normal,442,generation-i
22,-1.998518732306509,0.1604845132284417,-0.03148830456496096,ekans,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,poison,288,generation-i
23,0.3030827105431805,0.2641609308564528,0.20164542843226815,arbok,24,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,poison,448,generation-i
24,-1.6730742401872776,1.2592527669285425,-0.01709398213060522,pikachu,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,electric,320,generation-i
25,0.7468266087072734,1.5928866988731665,-0.1076379944725484,raichu,26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,electric,485,generation-i
26,-1.8464687766761938,-1.2014916880507602,1.1474563688938433,sandshrew,27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,ground,300,generation-i
27,0.3083302212490452,-1.0761003494031034,1.164760775403031,sandslash,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ground,450,generation-i
28,-2.1459075984751337,-0.28843121697946233,0.1372851443181587,nidoran-f,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,poison,275,generation-i
29,-0.8530281997199901,-0.2131964137908682,0.1476677882236713,nidorina,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,poison,365,generation-i
30,1.1851571954688491,-0.19886742760326914,0.1551812083097814,nidoqueen,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,poison,505,generation-i
31,-2.207996462449599,0.1798820048907929,0.30862440144963027,nidoran-m,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,poison,273,generation-i
32,-0.8883405581855481,0.21498694344483724,0.3177449968779878,nidorino,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,poison,365,generation-i
33,1.1299781833190976,0.41637142459826965,0.4168581279332231,nidoking,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,poison,505,generation-i
34,-1.3386303342593446,-0.3134175724217754,-0.5915804002346907,clefairy,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,fairy,323,generation-i
35,0.9638457619058982,-0.06523990251916596,-0.7048357143656591,clefable,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,fairy,483,generation-i
36,-1.8448692047372983,0.5701253406764425,-0.7366423067789388,vulpix,37,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,fire,299,generation-i
37,1.1127785530620347,0.6965586822811812,-0.6601922494100134,ninetales,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,fire,505,generation-i
38,-2.0453971488172407,-0.18852674169124634,0.9092895327007815,jigglypuff,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,normal,270,generation-i
39,0.3309174964680043,0.12104409383883935,0.730754358249735,wigglytuff,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,normal,435,generation-i
40,-2.6415537268814018,0.32509686572423274,0.14402207315867674,zubat,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,poison,245,generation-i
41,0.3751648702139327,0.5006447398309525,0.16824824227153964,golbat,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,poison,455,generation-i
42,-1.4026077775673784,-0.3246121970060587,-0.9669523006577747,oddish,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,grass,320,generation-i
43,-0.3204443936270424,-0.40137270147262527,-0.8032787715876158,gloom,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,grass,395,generation-i
44,1.0670065136353983,-0.32608829091220326,-0.9465245392823324,vileplume,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,grass,490,generation-i
45,-1.932486121166886,-0.7633987573235885,-0.04850819394271624,paras,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,bug,285,generation-i
46,-0.1377865804124779,-1.2517406454633835,0.007081169366336531,parasect,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,bug,405,generation-i
47,-1.681540749836272,-0.2796225734498824,0.0484186837552336,venonat,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,bug,305,generation-i
48,0.31037012234698297,1.0565671904999838,-0.5275770310904883,venomoth,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,bug,450,generation-i
49,-2.525586457772215,1.609593149690962,0.06239824709625193,diglett,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,ground,265,generation-i
50,-0.22485966823807796,1.5687683150443745,0.6419210272216789,dugtrio,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ground,425,generation-i
51,-2.1221375005124514,1.3070402641610588,0.1749431892390302,meowth,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,normal,290,generation-i
52,0.032661497412787656,1.4324316028087156,0.19224759574821804,persian,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,normal,440,generation-i
53,-1.5205285367906836,0.38306546090849664,-0.2882347184203299,psyduck,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,water,320,generation-i
54,1.065230260719603,0.533535067285685,-0.2674694306093043,golduck,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,water,500,generation-i
55,-1.810817975365603,0.646563397576883,0.7922712126223206,mankey,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,fighting,305,generation-i
56,0.34398102255963564,0.7719547362245398,0.8095756191315086,primeape,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,fighting,455,generation-i
57,-1.0896034568015776,0.5725683717061282,0.11193219702922276,growlithe,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,fire,350,generation-i
58,1.8429059376738817,0.708000201530989,0.42043260551082545,arcanine,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,fire,555,generation-i
59,-1.9817950142779577,1.1958581420648615,0.279702731290163,poliwag,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,water,300,generation-i
60,-0.7121576851870045,0.6415050310004323,0.49491308488510216,poliwhirl,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,water,385,generation-i
61,1.2825105701446622,-0.6067131785900285,0.14139952771092315,poliwrath,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,water,510,generation-i
62,-1.7853957970735703,2.5115383741348385,-1.689863647030513,abra,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,psychic,310,generation-i
63,-0.49251639831842714,2.586773177323433,-1.6794810031249998,kadabra,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,psychic,400,generation-i
64,0.9679067523609135,2.5977388168011464,-1.8912577908287687,alakazam,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,psychic,500,generation-i
